model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
38,Graham Pauley,Miami Marlins,New York Mets,Jonah Tong,8,loanDepot park,135.0,8.3,,8.4,1.6,9.8,1.6,7.1,6.0,3.0,87.08000000000001,6.2758471,153.0,3.6,5.4,5.9,5.3,Pitcher vulnerability + Hitter skill,False,0.6413888888888889,0.6413888888888889
39,Jarren Duran,Boston Red Sox,Los Angeles Angels,Grayson Rodriguez,7,Fenway Park,92.0,8.3,,9.5,4.9,5.5,4.9,5.1,6.6,4.0,77.36,6.2758471,333.0,3.6,6.3,8.3,8.5,Hitter skill + Weather,False,0.6384722222222222,0.6384722222222222
40,Adley Rutschman,Boston Red Sox,Los Angeles Angels,Grayson Rodriguez,3,Fenway Park,92.0,8.2,,9.0,5.1,5.5,5.1,5.1,6.6,8.0,77.36,6.2758471,333.0,9.2,6.8,3.3,5.0,Recent power + Hitter skill,False,0.637361111111111,0.637361111111111
41,JJ Bleday,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,4,UNIQLO Field at Dodger Stadium,124.0,8.2,,5.5,7.2,8.5,7.2,6.6,5.5,7.0,,,,6.6,8.3,5.1,4.6,Pitcher vulnerability + Pitch-type matchup,False,0.6369444444444444,0.6369444444444444
42,Abimelec Ortiz,Washington Nationals,San Diego Padres,Nick Pivetta,2,Petco Park,105.0,8.1,,8.9,5.5,5.5,5.5,5.7,5.5,9.0,94.46,7.5807262,326.0,3.6,2.4,7.9,8.4,Lineup context + Hitter skill,False,0.6351388888888888,0.6351388888888888
43,Mickey Gasper,Boston Red Sox,Los Angeles Angels,Grayson Rodriguez,2,Fenway Park,92.0,8.1,,6.8,9.1,5.5,9.1,5.1,6.6,9.0,77.36,6.2758471,333.0,6.4,7.0,3.5,6.8,Pitch-type matchup + Lineup context,False,0.6337499999999998,0.6337499999999998
44,Spencer Torkelson,Detroit Tigers,Minnesota Twins,Joe Ryan,7,Comerica Park,100.0,8.0,Strong,5.6,6.8,9.0,6.8,5.5,6.6,4.0,76.1,5.9030245,89.0,9.6,5.7,2.3,7.4,Recent power + Pitcher vulnerability,False,0.6325000000000001,0.6325000000000001
45,Luke Keaschall,Minnesota Twins,Detroit Tigers,Troy Melton,1,Comerica Park,100.0,8.0,Strong,6.9,5.5,6.8,5.5,5.5,6.6,10.0,76.1,5.9030245,89.0,3.6,6.1,8.4,7.9,Lineup context + Hitter skill,False,0.6305555555555556,0.6305555555555556
46,Dylan Crews,Washington Nationals,San Diego Padres,Nick Pivetta,3,Petco Park,105.0,7.9,,8.5,5.5,5.5,5.5,5.7,5.5,8.0,94.46,7.5807262,326.0,3.6,5.0,7.7,8.5,Hitter skill + Lineup context,False,0.6266666666666666,0.6266666666666666
47,Jakob Marsee,Miami Marlins,New York Mets,Jonah Tong,5,loanDepot park,135.0,7.9,,2.8,8.8,9.8,8.8,7.1,6.0,6.0,87.08000000000001,6.2758471,153.0,7.2,6.1,6.7,8.1,Pitcher vulnerability + Pitch-type matchup,False,0.6243055555555556,0.6243055555555556
48,Bobby Witt,Kansas City Royals,Arizona Diamondbacks,Derek Law,2,Kauffman Stadium,168.0,7.9,,9.4,7.3,1.2,7.3,8.6,6.6,9.0,80.78,7.456452,129.0,6.4,8.2,6.4,9.3,Hitter skill + Lineup context,False,0.6179166666666666,0.6179166666666666
49,Brandon Marsh,Philadelphia Phillies,Atlanta Braves,Grant Holmes,7,Citizens Bank Park,115.0,7.8,,6.6,8.5,6.4,8.5,6.2,6.5,4.0,77.9,4.5981454,7.0,3.6,9.7,6.4,2.5,Pitch-type matchup + Hitter skill,False,0.6136111111111111,0.6136111111111111
50,Shay Whitcomb,San Francisco Giants,St. Louis Cardinals,Michael McGreevy,8,Oracle Park,139.0,7.8,,6.3,7.2,7.7,7.2,7.3,6.7,3.0,71.78,10.9361296,259.0,3.6,8.9,4.3,3.7,Pitcher vulnerability + Ballpark,False,0.6126388888888888,0.6126388888888888
51,Max Muncy,Los Angeles Dodgers,Cincinnati Reds,Chase Burns,4,UNIQLO Field at Dodger Stadium,124.0,7.7,,7.5,9.7,3.8,9.7,6.6,5.5,7.0,,,,3.6,7.4,6.5,6.4,Pitch-type matchup + Hitter skill,False,0.6118055555555555,0.6118055555555555
52,Brady House,Washington Nationals,San Diego Padres,Nick Pivetta,5,Petco Park,105.0,7.7,,9.1,5.5,5.5,5.5,5.7,5.5,6.0,94.46,7.5807262,326.0,3.6,4.6,5.0,5.8,Hitter skill + Lineup context,False,0.6113888888888889,0.6113888888888889
53,Teoscar Hernández,Los Angeles Dodgers,Cincinnati Reds,Chase Burns,5,UNIQLO Field at Dodger Stadium,124.0,7.6,,8.6,6.2,3.8,6.2,6.6,5.5,6.0,,,,3.6,9.4,8.5,8.7,Hitter skill + Ballpark,False,0.6108333333333333,0.6108333333333333
54,Xander Bogaerts,San Diego Padres,Washington Nationals,Jake Irvin,8,Petco Park,105.0,7.6,,6.5,2.9,9.4,2.9,5.7,5.5,3.0,94.46,7.5807262,326.0,3.6,4.5,9.6,9.8,Pitcher vulnerability + Hitter skill,False,0.6084722222222222,0.6084722222222222
55,Seiya Suzuki,Chicago Cubs,Milwaukee Brewers,Robert Gasser,2,American Family Field,88.0,7.5,,7.1,6.3,7.2,6.3,5.0,6.6,9.0,76.1,8.2642343,120.0,3.6,5.8,2.2,3.0,Lineup context + Pitcher vulnerability,False,0.6058333333333332,0.6058333333333332
56,Javier Sanoja,Miami Marlins,New York Mets,Jonah Tong,6,loanDepot park,135.0,7.5,,5.4,2.7,9.8,2.7,7.1,6.0,5.0,87.08000000000001,6.2758471,153.0,9.1,4.1,9.0,6.3,Pitcher vulnerability + Recent power,False,0.6054166666666667,0.6054166666666667
57,Ketel Marte,Arizona Diamondbacks,Kansas City Royals,Noah Cameron,2,Kauffman Stadium,168.0,7.4,,6.1,8.3,5.1,8.3,8.6,6.6,9.0,80.78,7.456452,129.0,7.2,4.8,5.0,5.8,Lineup context + Ballpark,False,0.6016666666666667,0.6016666666666667
58,Kyle Stowers,Miami Marlins,New York Mets,Jonah Tong,1,loanDepot park,135.0,7.4,,1.5,5.9,9.8,5.9,7.1,6.0,10.0,87.08000000000001,6.2758471,153.0,9.9,9.6,9.8,9.9,Lineup context + Recent power,False,0.6011111111111112,0.6011111111111112
59,Joshua Báez,St. Louis Cardinals,San Francisco Giants,Logan Webb,7,Oracle Park,139.0,7.4,,7.9,8.7,3.0,8.7,7.3,6.7,4.0,71.78,10.9361296,259.0,7.7,5.1,7.2,8.8,Pitch-type matchup + Hitter skill,False,0.6005555555555556,0.6005555555555556
60,Tyler Stephenson,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,5,UNIQLO Field at Dodger Stadium,124.0,7.3,,3.6,8.0,8.5,8.0,6.6,5.5,6.0,,,,6.4,9.8,7.5,5.0,Pitcher vulnerability + Pitch-type matchup,False,0.5984722222222223,0.5984722222222223
61,Brett Baty,New York Mets,Miami Marlins,Eury Pérez,8,loanDepot park,135.0,7.3,,9.4,5.1,2.5,5.1,7.1,6.0,3.0,87.08000000000001,6.2758471,153.0,9.5,9.5,8.0,9.0,Recent power + Hitter skill,False,0.596111111111111,0.596111111111111
62,CJ Abrams,Washington Nationals,San Diego Padres,Nick Pivetta,4,Petco Park,105.0,7.2,,8.5,5.5,5.5,5.5,5.7,5.5,7.0,94.46,7.5807262,326.0,7.2,4.4,1.7,3.3,Hitter skill + Recent power,False,0.5869444444444445,0.5869444444444445
63,Vinnie Pasquantino,Kansas City Royals,Arizona Diamondbacks,Derek Law,3,Kauffman Stadium,168.0,7.2,,7.0,8.9,1.2,8.9,8.6,6.6,8.0,80.78,7.456452,129.0,9.0,8.7,9.7,9.4,Recent power + Pitch-type matchup,False,0.5861111111111111,0.5861111111111111
64,Max Clark,Detroit Tigers,Minnesota Twins,Joe Ryan,8,Comerica Park,100.0,7.1,,5.2,6.7,9.0,6.7,5.5,6.6,3.0,76.1,5.9030245,89.0,3.6,1.6,9.1,4.4,Pitcher vulnerability + Pitch-type matchup,False,0.5856944444444444,0.5856944444444444
65,Carter Jensen,Kansas City Royals,Arizona Diamondbacks,Derek Law,1,Kauffman Stadium,168.0,7.1,,7.2,9.2,1.2,9.2,8.6,6.6,10.0,80.78,7.456452,129.0,9.8,8.4,3.3,8.2,Lineup context + Recent power,False,0.5793055555555556,0.5793055555555556
66,Turner Hill,San Francisco Giants,St. Louis Cardinals,Michael McGreevy,1,Oracle Park,139.0,7.0,Above average,6.7,1.6,7.7,1.6,7.3,6.7,10.0,71.78,10.9361296,259.0,3.6,4.0,8.0,6.1,Lineup context + Pitcher vulnerability,False,0.5765277777777778,0.5765277777777778
67,Carlos Jorge,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,8,UNIQLO Field at Dodger Stadium,124.0,7.0,Above average,8.5,1.6,8.5,1.6,6.6,5.5,3.0,,,,3.6,1.6,1.5,6.6,Hitter skill + Pitcher vulnerability,False,0.5743055555555555,0.5743055555555555
68,Trea Turner,Philadelphia Phillies,Atlanta Braves,Grant Holmes,2,Citizens Bank Park,115.0,6.9,,6.0,6.5,6.4,6.5,6.2,6.5,9.0,77.9,4.5981454,7.0,3.6,5.2,4.8,5.2,Lineup context + Pitch-type matchup,False,0.5738888888888888,0.5738888888888888
69,Osleivis Basabe,San Francisco Giants,St. Louis Cardinals,Michael McGreevy,6,Oracle Park,139.0,6.9,,4.2,8.1,7.7,8.1,7.3,6.7,5.0,71.78,10.9361296,259.0,8.6,5.1,3.8,3.9,Recent power + Pitch-type matchup,False,0.5725,0.5725
70,Christian Yelich,Milwaukee Brewers,Chicago Cubs,Matthew Boyd,5,American Family Field,88.0,6.8,,5.1,3.5,8.1,3.5,5.0,6.6,6.0,76.1,8.2642343,120.0,3.6,8.8,9.0,9.2,Pitcher vulnerability + Weather,False,0.5675,0.5675
71,Bryson Stott,Philadelphia Phillies,Atlanta Braves,Grant Holmes,6,Citizens Bank Park,115.0,6.8,,8.3,3.0,6.4,3.0,6.2,6.5,5.0,77.9,4.5981454,7.0,8.1,3.4,2.0,4.5,Hitter skill + Recent power,False,0.5666666666666668,0.5666666666666668
72,Owen Caissie,Miami Marlins,New York Mets,Jonah Tong,7,loanDepot park,135.0,6.8,,2.7,9.3,9.8,9.3,7.1,6.0,4.0,87.08000000000001,6.2758471,153.0,3.6,4.2,4.4,3.2,Pitcher vulnerability + Pitch-type matchup,False,0.5652777777777778,0.5652777777777778
73,Gabriel Moreno,Arizona Diamondbacks,Kansas City Royals,Noah Cameron,3,Kauffman Stadium,168.0,6.7,,5.0,6.1,5.1,6.1,8.6,6.6,8.0,80.78,7.456452,129.0,7.7,8.5,7.1,8.9,Ballpark + Lineup context,False,0.5619444444444444,0.5619444444444444
74,Josh Lowe,Los Angeles Angels,Boston Red Sox,Brayan Bello,7,Fenway Park,92.0,6.7,,9.7,6.9,1.7,6.9,5.1,6.6,4.0,77.36,6.2758471,333.0,8.6,3.6,7.5,4.1,Hitter skill + Recent power,False,0.5608333333333333,0.5608333333333333
75,Jung Hoo Lee,San Francisco Giants,St. Louis Cardinals,Michael McGreevy,5,Oracle Park,139.0,6.6,,6.0,3.0,7.7,3.0,7.3,6.7,6.0,71.78,10.9361296,259.0,3.6,6.0,6.8,6.4,Pitcher vulnerability + Ballpark,False,0.5588888888888889,0.5588888888888889
76,Alec Bohm,Philadelphia Phillies,Atlanta Braves,Grant Holmes,5,Citizens Bank Park,115.0,6.6,,5.5,5.2,6.4,5.2,6.2,6.5,6.0,77.9,4.5981454,7.0,7.7,9.0,7.9,3.7,Recent power + Weather,False,0.5584722222222223,0.5584722222222223
77,Salvador Perez,Kansas City Royals,Arizona Diamondbacks,Derek Law,4,Kauffman Stadium,168.0,6.5,,9.2,4.2,1.2,4.2,8.6,6.6,7.0,80.78,7.456452,129.0,9.1,9.3,8.1,6.0,Hitter skill + Recent power,False,0.5576388888888888,0.5576388888888888
78,Michael Massey,Kansas City Royals,Arizona Diamondbacks,Derek Law,5,Kauffman Stadium,168.0,6.5,,7.5,9.9,1.2,9.9,8.6,6.6,6.0,80.78,7.456452,129.0,3.6,5.9,7.4,7.4,Pitch-type matchup + Ballpark,False,0.55625,0.55625
79,Héctor Rodríguez,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,1,UNIQLO Field at Dodger Stadium,124.0,6.4,,4.9,1.6,8.5,1.6,6.6,5.5,10.0,,,,7.2,7.6,6.0,7.5,Lineup context + Pitcher vulnerability,False,0.5556944444444445,0.5556944444444445
80,Joe Mack,Miami Marlins,New York Mets,Jonah Tong,9,loanDepot park,135.0,6.4,,2.4,9.4,9.8,9.4,7.1,6.0,2.0,87.08000000000001,6.2758471,153.0,3.6,2.4,8.5,2.9,Pitcher vulnerability + Pitch-type matchup,False,0.5541666666666667,0.5541666666666667
81,Kaelen Culpepper,Minnesota Twins,Detroit Tigers,Troy Melton,8,Comerica Park,100.0,6.3,,5.8,6.2,6.8,6.2,5.5,6.6,3.0,76.1,5.9030245,89.0,3.6,4.1,7.3,7.2,Pitcher vulnerability + Weather,False,0.5508333333333333,0.5508333333333333
82,Jonah Cox,San Francisco Giants,St. Louis Cardinals,Michael McGreevy,4,Oracle Park,139.0,6.3,,3.7,8.2,7.7,8.2,7.3,6.7,7.0,71.78,10.9361296,259.0,3.6,7.3,4.2,2.0,Pitch-type matchup + Pitcher vulnerability,False,0.5506944444444444,0.5506944444444444
83,Vladimir Guerrero,Toronto Blue Jays,Athletics,Jacob Lopez,3,Sutter Health Park,100.0,6.3,,7.6,2.4,4.7,2.4,5.5,5.8,8.0,89.06,2.1126614,354.0,6.4,6.7,8.8,9.4,Lineup context + Hitter skill,False,0.5504166666666666,0.5504166666666666
84,Henry Bolte,Athletics,Toronto Blue Jays,Dylan Cease,1,Sutter Health Park,100.0,6.2,,8.7,5.3,2.1,5.3,5.5,5.8,10.0,89.06,2.1126614,354.0,8.8,3.7,5.7,6.9,Lineup context + Recent power,False,0.5484722222222222,0.5484722222222222
85,Caleb Durbin,Boston Red Sox,Los Angeles Angels,Grayson Rodriguez,6,Fenway Park,92.0,6.2,,8.8,4.8,5.5,4.8,5.1,6.6,5.0,77.36,6.2758471,333.0,3.6,1.6,1.7,1.3,Hitter skill + Weather,False,0.5419444444444446,0.5419444444444446
86,Nolan Arenado,Arizona Diamondbacks,Kansas City Royals,Noah Cameron,4,Kauffman Stadium,168.0,6.1,,5.4,7.6,5.1,7.6,8.6,6.6,7.0,80.78,7.456452,129.0,8.1,2.4,3.2,4.9,Ballpark + Recent power,False,0.5380555555555555,0.5380555555555555
87,Royce Lewis,Minnesota Twins,Detroit Tigers,Troy Melton,6,Comerica Park,100.0,6.1,,4.1,5.4,6.8,5.4,5.5,6.6,5.0,76.1,5.9030245,89.0,7.2,9.9,9.1,6.6,Recent power + Pitcher vulnerability,False,0.5361111111111111,0.5361111111111111
88,Marcus Semien,New York Mets,Miami Marlins,Eury Pérez,5,loanDepot park,135.0,6.0,Solid,9.5,6.5,2.5,6.5,7.1,6.0,6.0,87.08000000000001,6.2758471,153.0,3.6,1.6,3.0,2.6,Hitter skill + Ballpark,False,0.5344444444444445,0.5344444444444445
89,Thomas Saggese,St. Louis Cardinals,San Francisco Giants,Logan Webb,8,Oracle Park,139.0,6.0,Solid,7.0,8.8,3.0,8.8,7.3,6.7,3.0,71.78,10.9361296,259.0,6.9,7.4,2.8,3.9,Pitch-type matchup + Ballpark,False,0.5341666666666666,0.5341666666666666
90,Luis Arraez,Philadelphia Phillies,Atlanta Braves,Grant Holmes,4,Citizens Bank Park,115.0,5.9,,8.0,2.5,6.4,2.5,6.2,6.5,7.0,77.9,4.5981454,7.0,3.6,3.4,1.3,3.6,Hitter skill + Lineup context,False,0.5340277777777779,0.5340277777777779
