model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup
32,Coby Mayo,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,3,Rogers Centre,69.0,9.0,Excellent,8.9,9.7,5.5,9.7,4.1,5.9,8.0,66.74000000000001,4.7845567,101.0,9.7,9.0,5.8,4.2,Pitch-type matchup + Recent power,True
33,Marcus Semien,New York Mets,New York Yankees,Carlos Rodón,6,Yankee Stadium,117.0,8.9,Excellent,10.0,7.1,4.2,7.1,6.3,6.5,5.0,76.28,4.6602825,325.0,3.6,2.0,3.3,2.6,Hitter skill + Pitch-type matchup,True
34,Owen Caissie,Miami Marlins,Los Angeles Dodgers,TBD,7,loanDepot park,135.0,8.9,Excellent,9.4,5.5,5.5,5.5,7.1,6.6,4.0,75.38,7.0214923,207.0,3.6,4.0,4.0,1.9,Hitter skill + Ballpark,True
35,Wilyer Abreu,Boston Red Sox,Kansas City Royals,Seth Lugo,3,Fenway Park,92.0,8.9,Excellent,8.5,7.4,7.2,7.4,5.1,6.6,8.0,71.78,5.2195164,295.0,3.6,5.4,7.7,5.9,Hitter skill + Lineup context,True
36,Nathaniel Lowe,Cleveland Guardians,Minnesota Twins,Taj Bradley,6,Target Field,113.0,8.8,Excellent,9.0,5.3,6.5,5.3,6.1,5.5,5.0,,,,8.6,4.8,5.7,5.8,Hitter skill + Recent power,True
37,CJ Abrams,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,4,Nationals Park,105.0,8.8,Excellent,7.0,6.1,8.9,6.1,5.7,6.5,7.0,78.25999999999999,3.7282260000000003,73.0,6.8,5.0,1.7,4.6,Pitcher vulnerability + Hitter skill,True
38,Bobby Witt,Kansas City Royals,Boston Red Sox,Sonny Gray,2,Fenway Park,92.0,8.8,Excellent,9.7,7.8,4.5,7.8,5.1,6.6,9.0,71.78,5.2195164,295.0,6.5,8.2,6.4,9.4,Hitter skill + Lineup context,True
39,Denzer Guzman,Los Angeles Angels,Washington Nationals,Cade Cavalli,8,Nationals Park,105.0,8.7,Excellent,9.9,5.0,6.9,5.0,5.7,6.5,3.0,78.25999999999999,3.7282260000000003,73.0,3.6,6.7,4.4,3.4,Hitter skill + Pitcher vulnerability,True
40,Henry Bolte,Athletics,Seattle Mariners,George Kirby,1,Sutter Health Park,100.0,8.7,Excellent,8.4,5.7,7.5,5.7,5.5,5.5,10.0,,,,6.8,4.1,5.1,5.3,Lineup context + Hitter skill,True
41,Joe Mack,Miami Marlins,Los Angeles Dodgers,TBD,9,loanDepot park,135.0,8.7,Excellent,9.5,5.5,5.5,5.5,7.1,6.6,2.0,75.38,7.0214923,207.0,3.6,2.3,8.2,2.2,Hitter skill + Ballpark,True
42,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,TBD,4,Chase Field,213.0,8.6,Excellent,8.8,5.5,5.5,5.5,10.0,5.5,7.0,,,,6.8,2.3,5.3,6.2,Ballpark + Hitter skill,True
43,Spencer Jones,New York Yankees,New York Mets,Nolan McLean,5,Yankee Stadium,117.0,8.6,Excellent,9.9,9.5,2.2,9.5,6.3,6.5,6.0,76.28,4.6602825,325.0,3.6,6.7,2.8,8.2,Hitter skill + Pitch-type matchup,True
44,Kody Clemens,Minnesota Twins,Cleveland Guardians,Parker Messick,3,Target Field,113.0,8.6,Excellent,8.8,8.8,3.9,8.8,6.1,5.5,8.0,,,,7.7,9.5,9.5,8.2,Hitter skill + Pitch-type matchup,True
45,Carter Jensen,Kansas City Royals,Boston Red Sox,Sonny Gray,1,Fenway Park,92.0,8.5,Strong,9.8,5.9,4.5,5.9,5.1,6.6,10.0,71.78,5.2195164,295.0,6.8,8.0,3.6,8.0,Lineup context + Hitter skill,True
46,Bryan Reynolds,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,3,Wrigley Field,107.0,8.5,Strong,6.5,4.0,8.5,4.0,5.8,6.7,8.0,74.3,9.5069763,124.0,7.7,9.2,8.5,9.5,Pitcher vulnerability + Lineup context,True
47,Cal Raleigh,Seattle Mariners,Athletics,Jeffrey Springs,4,Sutter Health Park,100.0,8.5,Strong,6.1,7.7,9.2,7.7,5.5,5.5,7.0,,,,7.7,10.0,9.7,9.8,Pitcher vulnerability + Pitch-type matchup,True
48,Brooks Lee,Minnesota Twins,Cleveland Guardians,Parker Messick,2,Target Field,113.0,8.4,Strong,8.3,8.3,3.9,8.3,6.1,5.5,9.0,,,,7.7,7.7,8.7,7.5,Lineup context + Hitter skill,True
49,Ketel Marte,Arizona Diamondbacks,Texas Rangers,TBD,2,Chase Field,213.0,8.4,Strong,7.8,5.5,5.5,5.5,10.0,5.5,9.0,,,,6.3,4.5,5.6,7.7,Ballpark + Lineup context,True
50,William Contreras,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,3,American Family Field,88.0,8.4,Strong,9.1,4.5,5.9,4.5,5.0,6.7,8.0,73.22,9.5069763,146.0,6.5,4.9,6.7,7.9,Hitter skill + Lineup context,True
51,Hunter Goodman,Colorado Rockies,Detroit Tigers,Framber Valdez,3,Comerica Park,100.0,8.3,Strong,8.2,9.9,3.2,9.9,5.5,6.6,8.0,73.94,6.2758471,96.0,7.7,9.2,8.3,7.5,Pitch-type matchup + Hitter skill,True
52,Jakob Marsee,Miami Marlins,Los Angeles Dodgers,TBD,5,loanDepot park,135.0,8.3,Strong,8.0,5.5,5.5,5.5,7.1,6.6,6.0,75.38,7.0214923,207.0,3.6,3.9,4.9,8.1,Hitter skill + Ballpark,True
53,Ty France,San Diego Padres,San Francisco Giants,Anthony Molina,4,Oracle Park,139.0,8.3,Strong,6.0,9.0,6.2,9.0,7.3,6.2,7.0,66.02,15.6585492,280.0,3.6,6.9,7.2,6.8,Pitch-type matchup + Ballpark,True
54,Jake McCarthy,Colorado Rockies,Detroit Tigers,Framber Valdez,1,Comerica Park,100.0,8.2,Strong,9.4,6.3,3.2,6.3,5.5,6.6,10.0,73.94,6.2758471,96.0,6.5,7.6,7.3,4.5,Lineup context + Hitter skill,True
55,Lawrence Butler,Athletics,Seattle Mariners,George Kirby,2,Sutter Health Park,100.0,8.2,Strong,5.6,9.2,7.5,9.2,5.5,5.5,9.0,,,,8.1,3.4,4.3,3.2,Pitch-type matchup + Lineup context,True
56,Josh Bell,Minnesota Twins,Cleveland Guardians,Parker Messick,4,Target Field,113.0,8.2,Strong,8.7,6.9,3.9,6.9,6.1,5.5,7.0,,,,7.7,5.8,6.8,7.5,Hitter skill + Recent power,True
57,Graham Pauley,Miami Marlins,Los Angeles Dodgers,TBD,8,loanDepot park,135.0,8.1,Strong,7.4,5.5,5.5,5.5,7.1,6.6,3.0,75.38,7.0214923,207.0,8.5,6.0,5.8,5.2,Recent power + Hitter skill,True
58,Enrique Hernández,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,9,loanDepot park,135.0,8.1,Strong,9.7,3.1,4.9,3.1,7.1,6.6,2.0,75.38,7.0214923,207.0,3.6,3.5,3.5,5.1,Hitter skill + Ballpark,True
59,Luis Torrens,New York Mets,New York Yankees,Carlos Rodón,9,Yankee Stadium,117.0,8.1,Strong,7.9,9.4,4.2,9.4,6.3,6.5,2.0,76.28,4.6602825,325.0,3.6,9.9,9.9,8.9,Pitch-type matchup + Hitter skill,True
60,Cedric Mullins,Tampa Bay Rays,Houston Astros,Miguel Ullola,9,Tropicana Field,107.0,8.0,Strong,4.8,8.8,9.5,8.8,5.8,6.5,2.0,81.5,2.8583065999999997,141.0,3.6,8.3,4.7,6.7,Pitcher vulnerability + Pitch-type matchup,True
61,Francisco Lindor,New York Mets,New York Yankees,Carlos Rodón,1,Yankee Stadium,117.0,8.0,Strong,6.0,9.1,4.2,9.1,6.3,6.5,10.0,76.28,4.6602825,325.0,9.0,7.7,6.6,9.6,Lineup context + Pitch-type matchup,True
62,Luis Campusano,San Diego Padres,San Francisco Giants,Anthony Molina,6,Oracle Park,139.0,8.0,Strong,7.2,4.1,6.2,4.1,7.3,6.2,5.0,66.02,15.6585492,280.0,9.6,8.5,2.4,3.4,Recent power + Ballpark,True
63,Jared Young,New York Mets,New York Yankees,Carlos Rodón,5,Yankee Stadium,117.0,7.9,Strong,9.8,3.2,4.2,3.2,6.3,6.5,6.0,76.28,4.6602825,325.0,3.6,2.5,6.8,4.6,Hitter skill + Weather,True
64,Riley Greene,Detroit Tigers,Colorado Rockies,Mason Adams,4,Comerica Park,100.0,7.9,Strong,3.8,7.3,9.9,7.3,5.5,6.6,7.0,73.94,6.2758471,96.0,9.9,9.9,7.8,4.5,Pitcher vulnerability + Recent power,True
65,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,1,Wrigley Field,107.0,7.9,Strong,7.5,9.7,1.5,9.7,5.8,6.7,10.0,74.3,9.5069763,124.0,9.0,8.7,7.9,9.3,Lineup context + Pitch-type matchup,True
66,Lars Nootbaar,Arizona Diamondbacks,Texas Rangers,TBD,9,Chase Field,213.0,7.8,Strong,8.4,5.5,5.5,5.5,10.0,5.5,2.0,,,,3.6,8.6,6.9,7.8,Ballpark + Hitter skill,True
67,Leo Bernal,St. Louis Cardinals,Chicago White Sox,Anthony Kay,4,Busch Stadium,70.0,7.8,Strong,9.5,6.8,5.2,6.8,4.2,5.5,7.0,,,,3.6,4.9,9.8,9.9,Hitter skill + Lineup context,True
68,Ryan Vilade,Tampa Bay Rays,Houston Astros,Miguel Ullola,2,Tropicana Field,107.0,7.8,Strong,3.5,9.1,9.5,9.1,5.8,6.5,9.0,81.5,2.8583065999999997,141.0,3.6,5.8,9.9,9.0,Pitcher vulnerability + Pitch-type matchup,True
69,Salvador Perez,Kansas City Royals,Boston Red Sox,Sonny Gray,4,Fenway Park,92.0,7.7,Strong,8.0,8.0,4.5,8.0,5.1,6.6,7.0,71.78,5.2195164,295.0,6.8,9.1,8.4,6.8,Hitter skill + Pitch-type matchup,True
70,Ildemaro Vargas,Arizona Diamondbacks,Texas Rangers,TBD,1,Chase Field,213.0,7.7,Strong,7.1,5.5,5.5,5.5,10.0,5.5,10.0,,,,3.6,1.4,4.9,2.0,Ballpark + Lineup context,True
71,Geraldo Perdomo,Arizona Diamondbacks,Texas Rangers,TBD,3,Chase Field,213.0,7.7,Strong,7.3,5.5,5.5,5.5,10.0,5.5,8.0,,,,3.6,1.4,4.1,3.2,Ballpark + Lineup context,True
72,Tim Tawa,Arizona Diamondbacks,Texas Rangers,TBD,5,Chase Field,213.0,7.6,Strong,6.9,5.5,5.5,5.5,10.0,5.5,6.0,,,,8.1,8.0,5.9,3.6,Ballpark + Recent power,True
73,Mike Trout,Los Angeles Angels,Washington Nationals,Cade Cavalli,2,Nationals Park,105.0,7.6,Strong,7.9,3.0,6.9,3.0,5.7,6.5,9.0,78.25999999999999,3.7282260000000003,73.0,3.6,6.1,1.8,5.0,Lineup context + Hitter skill,True
74,Brian Serven,Athletics,Seattle Mariners,George Kirby,8,Sutter Health Park,100.0,7.6,Strong,5.8,9.0,7.5,9.0,5.5,5.5,3.0,,,,8.1,8.2,3.4,6.5,Pitch-type matchup + Recent power,True
75,Konnor Griffin,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,1,Wrigley Field,107.0,7.5,Strong,4.4,5.8,8.5,5.8,5.8,6.7,10.0,74.3,9.5069763,124.0,3.6,5.0,8.5,5.4,Lineup context + Pitcher vulnerability,True
76,Cole Young,Seattle Mariners,Athletics,Jeffrey Springs,7,Sutter Health Park,100.0,7.5,Strong,5.9,7.1,9.2,7.1,5.5,5.5,4.0,,,,3.6,9.0,4.8,2.5,Pitcher vulnerability + Pitch-type matchup,True
77,Javier Sanoja,Miami Marlins,Los Angeles Dodgers,TBD,6,loanDepot park,135.0,7.5,Strong,6.4,5.5,5.5,5.5,7.1,6.6,5.0,75.38,7.0214923,207.0,7.7,2.8,9.1,7.2,Recent power + Ballpark,True
78,Ronald Acuña,Atlanta Braves,Philadelphia Phillies,Aaron Nola,2,Truist Park,100.0,7.4,Above average,3.7,8.0,8.2,8.0,5.5,6.7,9.0,81.14,9.4448392,176.0,9.5,7.7,7.6,8.8,Recent power + Lineup context,True
79,Munetaka Murakami,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,3,Busch Stadium,70.0,7.4,Above average,5.5,8.5,7.9,8.5,4.2,5.5,8.0,,,,9.3,4.4,1.9,9.3,Recent power + Pitch-type matchup,True
80,José Ramírez,Cleveland Guardians,Minnesota Twins,Taj Bradley,3,Target Field,113.0,7.4,Above average,7.1,5.2,6.5,5.2,6.1,5.5,8.0,,,,3.6,1.4,4.6,6.4,Lineup context + Hitter skill,True
81,Ryan McMahon,New York Yankees,New York Mets,Nolan McLean,7,Yankee Stadium,117.0,7.3,Above average,9.3,6.7,2.2,6.7,6.3,6.5,4.0,76.28,4.6602825,325.0,3.6,2.2,2.0,5.5,Hitter skill + Pitch-type matchup,True
82,Cody Bellinger,New York Yankees,New York Mets,Nolan McLean,2,Yankee Stadium,117.0,7.3,Above average,8.9,4.6,2.2,4.6,6.3,6.5,9.0,76.28,4.6602825,325.0,7.2,9.6,8.6,7.7,Lineup context + Hitter skill,True
83,Nick Fortes,Tampa Bay Rays,Houston Astros,Miguel Ullola,8,Tropicana Field,107.0,7.3,Above average,4.8,6.6,9.5,6.6,5.8,6.5,3.0,81.5,2.8583065999999997,141.0,3.6,4.2,7.0,1.8,Pitcher vulnerability + Pitch-type matchup,True
84,Isiah Kiner-Falefa,Boston Red Sox,Kansas City Royals,Seth Lugo,8,Fenway Park,92.0,7.2,Above average,8.2,2.6,7.2,2.6,5.1,6.6,3.0,71.78,5.2195164,295.0,8.1,2.9,3.7,1.6,Hitter skill + Recent power,True
85,Nolan Gorman,St. Louis Cardinals,Chicago White Sox,Anthony Kay,6,Busch Stadium,70.0,7.2,Above average,7.7,8.7,5.2,8.7,4.2,5.5,5.0,,,,8.1,7.9,3.2,8.8,Pitch-type matchup + Recent power,True
86,Danny Jansen,Texas Rangers,Arizona Diamondbacks,TBD,9,Chase Field,213.0,7.2,Above average,6.8,5.5,5.5,5.5,10.0,5.5,2.0,,,,8.8,9.1,3.9,2.5,Ballpark + Recent power,True
87,Mickey Gasper,Boston Red Sox,Kansas City Royals,Seth Lugo,2,Fenway Park,92.0,7.1,Above average,6.7,4.0,7.2,4.0,5.1,6.6,9.0,71.78,5.2195164,295.0,7.2,6.5,2.9,5.6,Lineup context + Pitcher vulnerability,True
88,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks,TBD,3,Chase Field,213.0,7.1,Above average,6.2,5.5,5.5,5.5,10.0,5.5,8.0,,,,6.8,6.2,7.4,7.8,Ballpark + Lineup context,True
89,Brayan Rocchio,Cleveland Guardians,Minnesota Twins,Taj Bradley,9,Target Field,113.0,7.1,Above average,6.1,6.5,6.5,6.5,6.1,5.5,2.0,,,,9.9,3.5,5.6,4.2,Recent power + Pitcher vulnerability,True
90,Miguel Vargas,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,2,Busch Stadium,70.0,7.0,Above average,6.3,6.0,7.9,6.0,4.2,5.5,9.0,,,,7.2,5.1,2.8,6.5,Lineup context + Pitcher vulnerability,True
91,Tommy White,Athletics,Seattle Mariners,George Kirby,5,Sutter Health Park,100.0,7.0,Above average,7.9,3.3,7.5,3.3,5.5,5.5,6.0,,,,3.6,8.9,4.2,4.8,Hitter skill + Pitcher vulnerability,True
92,Alika Williams,Athletics,Seattle Mariners,George Kirby,9,Sutter Health Park,100.0,7.0,Above average,6.6,6.2,7.5,6.2,5.5,5.5,2.0,,,,8.4,1.4,8.0,1.8,Recent power + Pitcher vulnerability,True
93,Vinnie Pasquantino,Kansas City Royals,Boston Red Sox,Sonny Gray,3,Fenway Park,92.0,6.9,Above average,7.6,5.4,4.5,5.4,5.1,6.6,8.0,71.78,5.2195164,295.0,9.1,8.7,9.8,9.6,Recent power + Lineup context,True
94,Brett Callahan,Detroit Tigers,Colorado Rockies,Mason Adams,6,Comerica Park,100.0,6.9,Above average,5.1,4.1,9.9,4.1,5.5,6.6,5.0,73.94,6.2758471,96.0,3.6,8.5,8.7,7.4,Pitcher vulnerability + Weather,True
95,Kyle Stowers,Miami Marlins,Los Angeles Dodgers,TBD,1,loanDepot park,135.0,6.9,Above average,4.9,5.5,5.5,5.5,7.1,6.6,10.0,75.38,7.0214923,207.0,7.7,9.2,9.5,9.8,Lineup context + Recent power,True
96,Dillon Dingler,Detroit Tigers,Colorado Rockies,Mason Adams,5,Comerica Park,100.0,6.8,Above average,4.1,5.9,9.9,5.9,5.5,6.6,6.0,73.94,6.2758471,96.0,3.6,2.5,9.4,6.6,Pitcher vulnerability + Weather,True
97,Lourdes Gurriel,Arizona Diamondbacks,Texas Rangers,TBD,6,Chase Field,213.0,6.8,Above average,6.6,5.5,5.5,5.5,10.0,5.5,5.0,,,,3.6,3.8,7.5,9.2,Ballpark + Hitter skill,True
98,Joey Ortiz,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,7,American Family Field,88.0,6.8,Above average,6.7,7.3,5.9,7.3,5.0,6.7,4.0,73.22,9.5069763,146.0,3.6,2.8,9.8,8.2,Pitch-type matchup + Hitter skill,True
99,Kyle Karros,Colorado Rockies,Detroit Tigers,Framber Valdez,6,Comerica Park,100.0,6.7,Above average,8.8,4.3,3.2,4.3,5.5,6.6,5.0,73.94,6.2758471,96.0,8.6,8.1,3.6,2.4,Hitter skill + Recent power,True
100,Patrick Bailey,Cleveland Guardians,Minnesota Twins,Taj Bradley,8,Target Field,113.0,6.7,Above average,7.5,3.7,6.5,3.7,6.1,5.5,3.0,,,,3.6,2.3,3.7,4.8,Hitter skill + Pitcher vulnerability,True
101,Max Muncy,Athletics,Seattle Mariners,George Kirby,6,Sutter Health Park,100.0,6.7,Above average,4.6,8.2,7.5,8.2,5.5,5.5,5.0,,,,9.6,8.0,4.0,5.7,Recent power + Pitch-type matchup,True
102,Rafael Flores,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,6,Wrigley Field,107.0,6.6,Above average,5.0,2.7,8.5,2.7,5.8,6.7,5.0,74.3,9.5069763,124.0,6.8,9.0,8.0,8.7,Pitcher vulnerability + Recent power,True
103,Jonny DeLuca,Tampa Bay Rays,Houston Astros,Miguel Ullola,4,Tropicana Field,107.0,6.6,Above average,3.0,7.4,9.5,7.4,5.8,6.5,7.0,81.5,2.8583065999999997,141.0,3.6,1.4,1.7,2.2,Pitcher vulnerability + Pitch-type matchup,True
104,Alex Bregman,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,4,Wrigley Field,107.0,6.6,Above average,7.7,8.1,1.5,8.1,5.8,6.7,7.0,74.3,9.5069763,124.0,3.6,8.8,8.6,3.2,Pitch-type matchup + Hitter skill,True
